size;array_type;threshold;time_ms
500;"random";0;0.1984
600;"random";0;0.2337
700;"random";0;0.3776
800;"random";0;0.4959
900;"random";0;0.3954
1000;"random";0;0.3828
1100;"random";0;0.4123
1200;"random";0;0.4471
1300;"random";0;0.4965
1400;"random";0;0.5283
1500;"random";0;0.5643
1600;"random";0;0.6032
1700;"random";0;0.7048
1800;"random";0;0.6894
1900;"random";0;0.7386
2000;"random";0;0.7674
2100;"random";0;0.8225
2200;"random";0;0.875
2300;"random";0;0.8787
2400;"random";0;1.0762
2500;"random";0;1.0099
2600;"random";0;1.1872
2700;"random";0;1.0866
2800;"random";0;1.2739
2900;"random";0;1.1267
3000;"random";0;1.3229
3100;"random";0;1.1993
3200;"random";0;1.2239
3300;"random";0;1.263
3400;"random";0;1.3201
3500;"random";0;1.4213
3600;"random";0;1.5266
3700;"random";0;1.4776
3800;"random";0;1.4769
3900;"random";0;1.5823
4000;"random";0;1.5502
4100;"random";0;1.6211
4200;"random";0;1.6197
4300;"random";0;1.9442
4400;"random";0;1.7125
4500;"random";0;2.086
4600;"random";0;1.8111
4700;"random";0;1.8419
4800;"random";0;1.9452
4900;"random";0;1.9484
5000;"random";0;1.9695
5100;"random";0;2.0246
5200;"random";0;2.3255
5300;"random";0;2.146
5400;"random";0;2.1289
5500;"random";0;2.2166
5600;"random";0;2.217
5700;"random";0;2.3054
5800;"random";0;2.758
5900;"random";0;3.6604
6000;"random";0;3.6558
6100;"random";0;2.8895
6200;"random";0;2.501
6300;"random";0;2.7722
6400;"random";0;2.4853
6500;"random";0;2.5374
6600;"random";0;2.5485
6700;"random";0;2.6003
6800;"random";0;2.8741
6900;"random";0;2.8349
7000;"random";0;2.7503
7100;"random";0;2.7941
7200;"random";0;2.8588
7300;"random";0;3.5429
7400;"random";0;2.8741
7500;"random";0;2.9594
7600;"random";0;3.3242
7700;"random";0;3.0181
7800;"random";0;3.2302
7900;"random";0;3.1015
8000;"random";0;3.2045
8100;"random";0;3.2035
8200;"random";0;3.295
8300;"random";0;3.2809
8400;"random";0;3.3074
8500;"random";0;3.3435
8600;"random";0;3.3861
8700;"random";0;3.4894
8800;"random";0;3.4615
8900;"random";0;3.5284
9000;"random";0;3.5797
